date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:33:33	4729/4729	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2028%20Jul%202023%2019:33:33%20GMT	https://www.artesiangroup.co.uk/robots.txt		(from )
20:33:33	21063/21063	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202023%2019:33:34%20GMT	https://www.artesiangroup.co.uk/	D:/artesiangroup/artesiangroup/www.artesiangroup.co.uk/index.html	(from )
20:33:33	21984/21984	---MCZ	200	added ('OK')	text/css	etag:W/%22feda974a77ea5783b8be673f142b7c88%22	http://maxcdn.bootstrapcdn.com/font-awesome/4.2.0/css/font-awesome.min.css	D:/artesiangroup/artesiangroup/maxcdn.bootstrapcdn.com/font-awesome/4.2.0/css/font-awesome.min.css	(from https://www.artesiangroup.co.uk/)
20:33:34	7666/7666	---MCZ	200	added ('OK')	text/css	etag:W/%225c1c736f-1df2%22	https://www.artesiangroup.co.uk/css/flexy-menu.css	D:/artesiangroup/artesiangroup/www.artesiangroup.co.uk/css/flexy-menu.css	(from https://www.artesiangroup.co.uk/)
20:33:34	163432/163432	---MCZ	200	added ('OK')	text/css	etag:W/%2254350491-27e68%22	https://www.artesiangroup.co.uk/css/foundation.css	D:/artesiangroup/artesiangroup/www.artesiangroup.co.uk/css/foundation.css	(from https://www.artesiangroup.co.uk/)
20:33:34	9825/9825	---MCZ	200	added ('OK')	text/css	etag:W/%2254350491-2661%22	https://www.artesiangroup.co.uk/css/survey.css	D:/artesiangroup/artesiangroup/www.artesiangroup.co.uk/css/survey.css	(from https://www.artesiangroup.co.uk/)
20:33:34	6414/6414	---MCZ	200	added ('OK')	text/css	etag:W/%2254350491-190e%22	https://www.artesiangroup.co.uk/css/style.css	D:/artesiangroup/artesiangroup/www.artesiangroup.co.uk/css/style.css	(from https://www.artesiangroup.co.uk/)
20:33:35	20766/20766	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:53%20GMT	http://maxcdn.bootstrapcdn.com/font-awesome/4.1.0/css/font-awesome.min.css	D:/artesiangroup/artesiangroup/maxcdn.bootstrapcdn.com/font-awesome/4.1.0/css/font-awesome.min.css	(from https://www.artesiangroup.co.uk/)
20:33:35	3367/3367	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2254351fca-d27%22	https://www.artesiangroup.co.uk/favicon.ico	D:/artesiangroup/artesiangroup/www.artesiangroup.co.uk/favicon.ico	(from https://www.artesiangroup.co.uk/)
20:33:40	93064/93064	---MCZ	200	added ('OK')	application/javascript	etag:W/%225435049f-16b88%22	https://www.artesiangroup.co.uk/js/jquery-1.10.1.min.js	D:/artesiangroup/artesiangroup/www.artesiangroup.co.uk/js/jquery-1.10.1.min.js	(from https://www.artesiangroup.co.uk/)
20:33:40	52916/52916	---MC-	200	added ('OK')	text/javascript	date:Mon,%2012%20Jun%202023%2018:23:07%20GMT	http://www.google-analytics.com/analytics.js	D:/artesiangroup/artesiangroup/www.google-analytics.com/analytics.js	(from https://www.artesiangroup.co.uk/)
20:33:41	2737/2737	---MCZ	200	added ('OK')	application/javascript	etag:W/%225435049f-ab1%22	https://www.artesiangroup.co.uk/js/flexy-menu.js	D:/artesiangroup/artesiangroup/www.artesiangroup.co.uk/js/flexy-menu.js	(from https://www.artesiangroup.co.uk/)
20:33:43	16652/16652	---M--	200	added ('OK')	image/png	etag:%2254350495-410c%22	https://www.artesiangroup.co.uk/img/circle2.png	D:/artesiangroup/artesiangroup/www.artesiangroup.co.uk/img/circle2.png	(from https://www.artesiangroup.co.uk/)
20:33:43	20623/20623	---M--	200	added ('OK')	image/png	etag:%2254350495-508f%22	https://www.artesiangroup.co.uk/img/circle2hover.png	D:/artesiangroup/artesiangroup/www.artesiangroup.co.uk/img/circle2hover.png	(from https://www.artesiangroup.co.uk/)
20:33:44	95786/95786	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.11.1/jquery.min.js	D:/artesiangroup/artesiangroup/ajax.googleapis.com/ajax/libs/jquery/1.11.1/jquery.min.js	(from https://www.artesiangroup.co.uk/)
20:33:44	7505/7505	---M--	200	added ('OK')	image/png	etag:%2254350494-1d51%22	https://www.artesiangroup.co.uk/img/circle1.png	D:/artesiangroup/artesiangroup/www.artesiangroup.co.uk/img/circle1.png	(from https://www.artesiangroup.co.uk/)
